QueryID,作物代碼,作物名稱,名稱註解,種類代碼,種類名稱
60503,FE3,冬瓜,毛瓜,N04,蔬菜
60500,FE0,冬瓜,其他,N04,蔬菜
60509,FE9,冬瓜,進口,N04,蔬菜
60601,FF1,絲瓜,菜瓜,N04,蔬菜
60602,FF2,絲瓜,角瓜[澎湖絲瓜],N04,蔬菜
60603,FF3,絲瓜,白瓜,N04,蔬菜
60604,FF4,絲瓜,長絲瓜,N04,蔬菜
60609,FF9,絲瓜,進口,N04,蔬菜
60600,FF0,絲瓜,其他,N04,蔬菜
60701,FG1,苦瓜,白大米,N04,蔬菜
60702,FG2,苦瓜,青大米,N04,蔬菜
60703,FG3,苦瓜,山苦瓜,N04,蔬菜
60704,FG4,苦瓜,翠綠,N04,蔬菜
60709,FG9,苦瓜,進口,N04,蔬菜
60700,FG0,苦瓜,其他,N04,蔬菜
60801,FH1,扁蒲,長形蒲仔,N04,蔬菜
60802,FH2,扁蒲,圓形,N04,蔬菜
60803,FH3,扁蒲,花蒲,N04,蔬菜
60804,FH4,扁蒲,梨子蒲,N04,蔬菜
60800,FH0,扁蒲,其他,N04,蔬菜
60901,FI1,茄子,胭脂茄,N04,蔬菜
60902,FI2,茄子,麻荸茄,N04,蔬菜
60903,FI2,茄子,日本種,N04,蔬菜
60900,FI0,茄子,其他,N04,蔬菜
61001,FJ1,番茄,黑柿,N04,蔬菜
61002,FJ2,番茄,粉柿,N04,蔬菜
61003,FJ3,番茄,牛蕃茄,N04,蔬菜
61000,FJ0,番茄,其他,N04,蔬菜
61103,FK3,甜椒,新香,N04,蔬菜
61104,FK4,甜椒,彩色種,N04,蔬菜
61105,FK5,甜椒,青椒,N04,蔬菜
61109,FK9,甜椒,進口,N04,蔬菜
61100,FK0,甜椒,其他,N04,蔬菜
61201,FL1,豌豆,白花[荷蘭豆],N04,蔬菜
61202,FL2,豌豆,紅花,N04,蔬菜
61203,FL3,豌豆,豆莢,N04,蔬菜
61204,FL4,豌豆,豆仁,N04,蔬菜
